LGA_CODE_2021,Age_40_44_NonInd_F,Age_40_44_NonInd_P,Age_40_44_Indig_st_nsM,Age_40_44_Indig_st_nsF,Age_40_44_Indig_st_nsP,Age_40_44_TotM,Age_40_44_TotF,Age_40_44_TotP,Age_45_49_Indig_M,Age_45_49_Indig_F,Age_45_49_Indig_P,Age_45_49_NonInd_M,Age_45_49_NonInd_F,Age_45_49_NonInd_P,Age_45_49_Indig_st_nsM,Age_45_49_Indig_st_nsF,Age_45_49_Indig_st_nsP,Age_45_49_TotM,Age_45_49_TotF,Age_45_49_TotP,Age_50_54_Indig_M,Age_50_54_Indig_F,Age_50_54_Indig_P,Age_50_54_NonInd_M,Age_50_54_NonInd_F,Age_50_54_NonInd_P,Age_50_54_Indig_st_nsM,Age_50_54_Indig_st_nsF,Age_50_54_Indig_st_nsP,Age_50_54_TotM,Age_50_54_TotF,Age_50_54_TotP,Age_55_59_Indig_M,Age_55_59_Indig_F,Age_55_59_Indig_P,Age_55_59_NonInd_M,Age_55_59_NonInd_F,Age_55_59_NonInd_P,Age_55_59_Indig_st_nsM,Age_55_59_Indig_st_nsF,Age_55_59_Indig_st_nsP,Age_55_59_TotM,Age_55_59_TotF,Age_55_59_TotP,Age_60_64_Indig_M,Age_60_64_Indig_F,Age_60_64_Indig_P,Age_60_64_NonInd_M,Age_60_64_NonInd_F,Age_60_64_NonInd_P,Age_60_64_Indig_st_nsM,Age_60_64_Indig_st_nsF,Age_60_64_Indig_st_nsP,Age_60_64_TotM,Age_60_64_TotF,Age_60_64_TotP,Age_65over_Indig_M,Age_65over_Indig_F,Age_65over_Indig_P,Age_65over_NonInd_M,Age_65over_NonInd_F,Age_65over_NonInd_P,Age_65over_Indig_st_nsM,Age_65over_Indig_st_nsF,Age_65over_Indig_st_nsP,Age_65_over_TotM,Age_65_over_TotF,Age_65_over_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_Indig_st_nsM,Tot_Indig_st_nsF,Tot_Indig_st_nsP,Tot_TotM,Tot_TotF,Tot_TotP
LGA10050,1607,3100,89,69,159,1615,1729,3348,33,52,80,1431,1613,3044,88,72,161,1554,1733,3283,43,56,98,1543,1624,3163,95,76,171,1677,1751,3430,25,41,65,1487,1617,3102,93,87,176,1607,1733,3340,29,30,67,1538,1741,3278,82,72,153,1650,1849,3494,53,53,103,4635,5711,10347,225,287,516,4915,6050,10967,1004,1121,2126,24570,26470,51047,1510,1409,2923,27087,29007,56093
LGA10180,631,1273,47,50,98,728,744,1471,35,43,81,638,744,1389,52,59,110,732,845,1574,42,52,85,687,740,1425,56,59,113,782,846,1627,66,47,111,785,824,1608,67,60,129,919,933,1853,36,33,69,739,817,1558,50,43,99,827,894,1720,61,69,132,2259,2627,4881,205,298,503,2523,2994,5517,1044,1162,2205,11671,12505,24174,1289,1449,2744,14005,15115,29124
LGA10250,1291,2442,73,61,132,1272,1386,2658,49,74,120,1244,1399,2645,58,68,129,1353,1540,2891,50,60,116,1293,1463,2753,71,75,142,1416,1597,3010,44,40,85,1401,1512,2912,69,65,138,1513,1620,3129,44,28,73,1450,1686,3134,77,88,161,1576,1806,3372,54,74,129,5384,6398,11778,272,343,617,5710,6814,12524,858,946,1804,20268,21907,42177,1142,1163,2307,22271,24019,46296
LGA10300,39,82,11,9,18,59,50,108,7,8,12,55,55,102,6,16,24,68,69,136,0,0,4,60,65,124,15,5,20,73,78,151,3,3,10,73,71,139,6,11,17,86,86,166,4,5,7,70,65,138,12,11,24,87,82,163,9,7,16,181,190,366,33,33,70,221,231,453,63,74,141,905,873,1780,142,148,289,1116,1098,2208
LGA10470,1090,2171,70,62,124,1238,1228,2463,90,79,163,1157,1213,2371,60,77,131,1309,1363,2670,63,66,132,1188,1256,2440,66,70,140,1322,1395,2715,33,52,85,1205,1239,2449,68,54,119,1309,1345,2651,34,49,86,1211,1260,2466,69,65,131,1312,1374,2686,68,76,148,3576,3986,7557,173,194,370,3820,4257,8073,1650,1504,3153,19165,19201,38368,1044,998,2043,21857,21705,43567
LGA10500,5370,10912,303,256,558,5878,5674,11557,53,67,119,4975,5170,10142,252,232,483,5276,5468,10742,52,65,121,4496,4865,9360,219,189,403,4762,5123,9882,49,54,103,4347,4480,8825,212,217,431,4602,4748,9352,46,35,76,3737,4021,7757,165,138,308,3943,4199,8143,58,73,131,11294,13233,24526,604,729,1334,11951,14040,25996,942,1012,1962,81958,82630,164583,4423,4214,8638,87327,87860,175184
LGA10550,814,1502,45,48,95,758,887,1646,32,34,66,857,940,1802,76,66,139,967,1040,2002,29,28,66,990,1136,2125,77,75,150,1097,1243,2343,45,43,87,1162,1415,2571,95,95,194,1300,1553,2852,30,32,61,1529,1701,3225,88,101,194,1649,1833,3483,64,48,111,4762,4858,9615,346,338,685,5164,5243,10408,688,696,1386,15752,16465,32217,1190,1152,2342,17628,18307,35942
LGA10600,308,578,30,33,61,312,343,652,18,21,33,333,412,741,40,39,74,388,468,850,11,15,29,363,452,816,33,35,69,414,501,916,15,17,34,438,526,969,28,36,64,479,583,1065,15,13,31,522,592,1115,34,21,57,565,636,1196,21,13,41,1623,1678,3310,103,106,217,1752,1809,3558,272,292,562,5693,6070,11762,464,465,927,6423,6827,13253
LGA10650,209,379,19,14,31,193,236,431,11,10,15,212,212,423,20,24,45,239,244,482,3,8,9,223,203,426,19,33,47,250,241,484,7,9,9,226,249,469,19,25,41,247,276,523,0,6,9,315,358,675,38,30,69,354,394,752,16,12,24,1278,1274,2556,127,120,247,1421,1409,2832,131,130,263,3750,3879,7626,383,391,773,4261,4402,8665
LGA10750,14025,29069,675,691,1366,15961,14991,30947,243,290,543,12101,11610,23707,609,543,1149,12956,12449,25402,259,320,579,10209,10445,20655,475,449,926,10950,11211,22165,187,217,407,9410,9579,18989,406,352,760,10006,10152,20158,139,169,302,8067,8611,16679,367,369,732,8568,9143,17714,240,322,563,18927,22165,41094,923,1185,2104,20092,23669,43764,5792,6017,11812,182366,183324,365693,9712,9558,19272,197876,198905,396776
